NAME: TIBABWETIZA MUHANGUZI,,
STD NO: 2100702312,,
REG NO: 2021/HD05/2312U,,
,,
,files,predictions
0,6.png,sick
1,24.png,sick
2,16.png,sick
3,30.png,sick
4,45.png,normal
5,13.png,normal
6,22.png,sick
7,21.png,normal
8,23.png,normal
9,25.png,normal
10,9.png,normal
11,8.png,sick
12,40.png,sick
13,5.png,normal
14,39.png,normal
15,10.png,sick
16,14.png,sick
17,15.png,normal
18,19.png,normal
19,27.png,normal
20,17.png,normal
21,41.png,normal
22,11.png,normal
23,36.png,sick
24,32.png,sick
25,12.png,sick
26,49.png,normal
27,2.png,sick
28,35.png,normal
29,3.png,normal
30,43.png,normal
31,44.png,sick
32,47.png,normal
33,18.png,sick
34,48.png,sick
35,34.png,sick
36,50.png,sick
37,38.png,sick
38,31.png,normal
39,46.png,sick
40,7.png,sick
41,28.png,sick
42,26.png,sick
43,42.png,sick
44,37.png,normal
45,29.png,normal
46,33.png,normal
47,20.png,sick
48,4.png,sick
49,1.png,normal
